Human labeller,domain,CMP,privacy_link,privacy_policy_on_hompage,last_updated,,contact_email,contact_number,contact_address,mention_of_childrens_data,childrens_data_collected,mention_of_opt_out,advanced_privacy_controls,specific_tracking_technology,mention_of_generic_tracking_tech
Akshay,https://jacentretail.com,CookieYes,https://jacentretail.com/privacy-policy/,TRUE,,,,,,FALSE,N/A,FALSE,FALSE,,FALSE
Akshay,https://mychildrenschoice.com,Complianz,https://www.mychildrenschoice.com/privacy-policy/,TRUE,,,info@mychildrenschoice.com,844-707-5437,,TRUE,FALSE,TRUE,TRUE,,FALSE
Akshay,https://holmanusa.com,,https://holmanusa.com/privacy-policy/,TRUE,,,solutions@holmanusa.com,(253) 872-7140,,FALSE,FALSE,TRUE,TRUE,,FALSE
Akshay,https://heritage-title.com,,https://heritagetitleofaustin.com/privacy-policy/,TRUE,,,,,,FALSE,N/A,FALSE,FALSE,,FALSE
Akshay,https://clearwaypain.com,,https://clearwaypain.com/privacy-policy/,TRUE,"43,910.00",1,info@clearwaypain.com,833-301-7246,"Clearway Pain Solutions, 201 Defense Hwy, Ste 250, Annapolis, MD, 21401",TRUE,FALSE,TRUE,FALSE,Google Analytics,FALSE
Akshay,https://pacs.com,,https://pacs.com/privacy-policy,TRUE,"45,313.00",1,techsupport@pacs.com,(801) 447-9829,,TRUE,FALSE,TRUE,TRUE,,TRUE
Akshay,https://follettlearning.com,onetrust,https://follettsoftware.com/privacy-policy/,TRUE,"45,456.00",1,privacy@follettlearning.com,800-350-6418,"1340 Ridgeview Dr., McHenry, IL 60050",TRUE,FALSE,FALSE,TRUE,,TRUE
Akshay,https://allianceanimal.com,,https://allianceanimal.com/privacy-policy/,TRUE,,1,HR@allianceanimal.com,914-369-1500 ,"800 Westchester Ave, #S-504
Rye Brook, NY 10573",TRUE,FALSE,TRUE,TRUE,Google Analytics,TRUE
Akshay,https://plancorp.com,,https://www.plancorp.com/privacy-policy/,TRUE,,1,,,,FALSE,N/A,FALSE,FALSE,,FALSE
Akshay,https://tecton.ai,,https://tecton.ai/privacy-policy/,TRUE,"45,532.00",1,privacy@tecton.ai,,"Tecton, Inc.
548 Market Street, PMB 28021
San Francisco, California 94104",TRUE,FALSE,TRUE,FALSE,,TRUE
Akshay,https://barcelonawinebar.com,,http://www.barcelonawinebar.com/privacy-policy,TRUE,"44,139.00",1,,," 20 Ketchum Street, Suite 101, Westport, CT 06880",TRUE,FALSE,TRUE,TRUE,,FALSE
Akshay,https://hirecounsel.com,,https://www.hirecounsel.com/privacy-policy/,TRUE,,1,,(646) 356-0550,,TRUE,TRUE,,,Google Analytics,TRUE
Akshay,https://taylorfarms.com,cookieyes,800-350-6418,TRUE,,1,privacy@taylorfarms.com,(831) 676-9765,"Privacy Officer
Taylor Fresh Foods, Inc.
150 Main Street
Salinas, CA 93901",TRUE,FALSE,TRUE,TRUE,"Facebook, Google Analytics",TRUE
Akshay,https://lasallenetwork.com,Moove GDPR Consent,https://www.thelasallenetwork.com/privacy-policy/,TRUE,,1,WebMaster@LaSalleNetwork.com,,,TRUE,FALSE,FALSE,TRUE,,FALSE
Akshay,https://redriv.com,,https://www.redriv.com/privacy-policy/,TRUE,,1,,,,TRUE,FALSE,TRUE,FALSE,Google Ads (AdWords),FALSE
Akshay,https://weaverparts.com,,https://weaverparts.com/privacy-policy/,TRUE,"45,528.00",1,marketingadmin@roadtestedparts.com,,,TRUE,FALSE,FALSE,FALSE,,TRUE
Akshay,https://learningstream.com,,https://www.learningstream.com/privacy-policy,TRUE,,1,support@learningstream.com,(800) 560-1617,"1213 W. Morehead Street
Suite 500
Charlotte, NC 28208",FALSE,N/A,TRUE,TRUE,,FALSE
Akshay,https://eriehome.com,,https://eriehome.com/privacy-policy/,TRUE,"45,002.00",1,customersupport@eriehome.com,(419) 472-4200,"Privacy Officer, 3516 Granite Circle, Toledo, OH 43617
",FALSE,N/A,TRUE,FALSE,Google Analytics,TRUE
Akshay,https://akam.com,cookieyes,https://akam.com/privacy-policy/,TRUE,,1,info@akam.com,,,TRUE,FALSE,TRUE,TRUE,,TRUE
Akshay,https://marquetteassociates.com,,https://www.marquetteassociates.com/privacy-policy-disclosure-documents/,TRUE,,1,,,,FALSE,N/A,FALSE,FALSE,,FALSE
Akshay,https://brightnightpower.com,,https://brightnightpower.com/privacy-policy/,TRUE,,1,,,,TRUE,FALSE,FALSE,TRUE,,TRUE
Akshay,https://etcnow.com,,https://marketing.etcnow.com/acton/attachment/10903/f-00cf/1/-/-/-/-/Privacy-Policy.pdf,TRUE,,1,,,,TRUE,FALSE,TRUE,FALSE,,FALSE
Akshay,https://extradutysolutions.com,,https://extradutysolutions.com/privacy-policy/,TRUE,"45,338.00",1,,,,TRUE,FALSE,FALSE,FALSE,,FALSE
Akshay,https://notablehealth.com,,https://notablehealth.com/privacy-policy,TRUE,"44,736.00",1,contact@notablehealth.com,,"400 S El Camino Real Ste. 600, San Mateo, CA 94402",TRUE,FALSE,TRUE,TRUE,Google Analytics,TRUE
Akshay,https://alexanderhh.com,,https://alexanderhh.com/privacy-policy,TRUE,,1,info@angelsofcare.com,,,FALSE,N/A,TRUE,TRUE,Google Analytics,TRUE
Akshay,https://powergridservices.com,,https://powergridservices.com/privacy-policy/,TRUE,,1,info@powergridservices-dev.cloudaccess.host,(1-800-797-4743),"2350 U.S.Highway 31 NW, Hartselle, AL, 35640",FALSE,N/A,TRUE,TRUE,,FALSE
Akshay,https://alitura.com,,https://alitura.com/policies/privacy-policy,TRUE,"45,538.00",1,hello@alitura.com,,"100 Verde Valley School Road, #112, Sedona, AZ, 86351, US",TRUE,FALSE,TRUE,TRUE,,TRUE
Akshay,https://liveonny.org,,https://liveonny.org/privacy-policy/,TRUE,,1,communication@liveonny.org,,"LiveOnNY
460 West 34th Street
15th Floor
New York, NY 10001",FALSE,N/A,FALSE,FALSE,,FALSE
Akshay,https://hhills.com,,https://hhills.com/privacy-policy/,TRUE,"44,095.00",1,,,"Harmony Hills

18121 Boys Ranch Road

Altoona, FL 32702",FALSE,N/A,FALSE,TRUE,,FALSE
Akshay,https://gracoroberts.com,,https://gracoroberts.com/about/privacy-policy/,TRUE,,1,,,,FALSE,N/A,FALSE,FALSE,,FALSE
Daniel,https://ccclark.com,,https://ccclark.com/privacy-policy/,TRUE,"44,734.00",1,help@ccclark.com,,,TRUE,FALSE,TRUE,FALSE,,FALSE
Daniel,https://sterilex.com,,https://www.sterilex.com/privacy-policy/,TRUE,"44,753.00",1,privacy@sterilex.com,,,TRUE,FALSE,TRUE,FALSE,Google Analytics,FALSE
Daniel,https://dlr360.com,Complianz,https://dlr360.com/home/privacy-policy/,TRUE,,1,info@dlr360.com,,,FALSE,N/A,FALSE,FALSE,,FALSE
Daniel,https://sbenergy.com,,https://sbenergy.com/privacy-policy/,TRUE,"44,408.00",1,info@sbenergy.com,,"1 Circle Star Way, San Carlos, CA 94070",TRUE,FALSE,TRUE,TRUE,Google Analytics,FALSE
Daniel,https://liparifoods.com,,https://liparifoods.com/privacy-policy/,TRUE,"44,235.00",1,info@liparifoods.com,,,TRUE,FALSE,TRUE,TRUE,"Google Analytics, Google Ads (AdWords), Facebook",TRUE
Daniel,https://k2ins.com,Cookie Script,https://k2ins.com/privacy-policy,TRUE,"45,266.00",1,privacy@k2ins.com,(866) 662-5752,,TRUE,FALSE,TRUE,TRUE,,FALSE
Daniel,https://recoverycentersofamerica.com,,https://recoverycentersofamerica.com/privacy-policy/,TRUE,,1,,,,FALSE,N/A,FALSE,FALSE,Facebook,FALSE
Daniel,https://nucerasolutions.com,,https://chasecorp.com/nucerasolutions/privacy-policy,TRUE,"43,910.00",1,Karen.Reeves@NuCeraSolutions.com,(888) 562 9797,,TRUE,FALSE,TRUE,TRUE,Google Analytics,TRUE
Daniel,https://maysteel.com,,https://maysteel.com/privacy-policy/,TRUE,"44,775.00",1,info@maysteel.com,262-251-1632,"6199 Highway W Allenton, Wisconsin 53002",FALSE,N/A,TRUE,TRUE,,TRUE
Daniel,https://apexsci.com,,https://apexsci.com/privacy-policy/,TRUE,"45,108.00",1,info@cenexel.com,,"CenExel, 310 E 4500 S, Suite #240, Salt Lake City, Utah 84107",TRUE,FALSE,TRUE,TRUE,Google Analytics,TRUE
Daniel,https://fourhands.com,,https://fourhands.com/privacy-policy,TRUE,"43,617.00",1,info@fourhands.com,,"Four Hands LLC, Customer Care, 2090 Woodward St., Austin, TX 78744",TRUE,FALSE,FALSE,FALSE,Facebook,TRUE
Daniel,https://newleafenergy.com,,https://newleafenergy.com/privacy-policy,TRUE,"44,757.00",1,privacyrequest@newleafenergy.com,(800) 818-5249,"New Leaf Energy, Inc., 55 Technology Dr, Suite 102, Lowell, MA 01851",TRUE,FALSE,FALSE,TRUE,"Google Analytics, Facebook",FALSE
Daniel,https://mersgoodwill.org,,https://mersgoodwill.org/privacy-policy/,TRUE,,1,,,"MERS Goodwill Industries, 1727 Locust Street, St. Louis, MO 63103, 314-241-3464",FALSE,N/A,FALSE,FALSE,,FALSE
Daniel,https://buddyspizza.com,,https://buddyspizza.com/privacy-policy,TRUE,"44,197.00",1,buddyspizza@buddyspizza.com,,"31800 Northwestern Hwy, Suite 206, Farmington Hills, MI 48334
",TRUE,FALSE,FALSE,TRUE,,TRUE
Daniel,https://raslavrar.com,,https://raslavrar.com/privacy-policy/,TRUE,,1,,561-613-0067,"RAS LaVrar, LLC 1133 South University Drive, 2nd Floor Plantation, FL 33324",FALSE,N/A,FALSE,FALSE,,FALSE
Daniel,https://blueflintethanol.com,,https://blueflintethanol.com/fccp-privacy-policy-19648,FALSE,,1,,,,,,,,,
Daniel,https://drawbridgeco.com,CookieYes,https://drawbridgeco.com/privacy-policy/,TRUE,"45,161.00",1,privacy@drawbridgeco.com,(561) 593-1600,"Drawbridge, 3330 PGA Boulevard, Suite 507, Palm Beach Gardens, FL 33418",TRUE,FALSE,TRUE,TRUE,Google Analytics,FALSE
Daniel,https://emersonecologics.com,,https://emersonecologics.com/privacy-policy,TRUE,"44,927.00",1,privacy@emersonecologics.com,800-654-4432,"Privacy Officer, 1230 Elm Street, Suite 301, Manchester, NH 03101",TRUE,FALSE,FALSE,FALSE,Google Analytics,FALSE
Daniel,https://middlesexmgmt.com,,https://middlesexmgmt.com/privacy-policy/,TRUE,"43,282.00",1,info@informationform.com,,,TRUE,FALSE,FALSE,FALSE,,TRUE
Daniel,https://owlservices.com,,https://owlservices.com/privacy-policy/,TRUE,"45,133.00",1,privacy@owlservices.com,,,TRUE,FALSE,TRUE,FALSE,Google Analytics,TRUE
Daniel,https://loopcapital.com,OneTrust,https://www.loopcapital.com/privacy-policy/,TRUE,"43,617.00",1,compliance@loopcapital.com,,,FALSE,N/A,FALSE,FALSE,,FALSE
Daniel,https://nrdc.org,,https://nrdc.org/privacy-policy,TRUE,"45,444.00",1,webmaster@nrdc.org,," Natural Resources Defense Council, Inc., Attn: Membership Services, 40 W. 20th Street, New York, NY 10011",TRUE,FALSE,TRUE,TRUE,"Google Ads (AdWords), Facebook",TRUE
Daniel,https://mainlinebrands.com,,https://mainlinebrands.com/privacy-policy/,TRUE,,1,,,,FALSE,N/A,FALSE,TRUE,,FALSE
Daniel,https://valleyqueen.com,,https://valleyqueen.com/privacy-policy,TRUE,,1,cheese@vqcheese.com,,,FALSE,N/A,TRUE,FALSE,"Google Analytics, Facebook",TRUE
Daniel,https://rfi.global,CookieYes,https://rfi.global/privacy-policy/,TRUE,"45,497.00",1,privacy@rfi.global,,,FALSE,N/A,TRUE,TRUE,,FALSE
Daniel,https://alaschools.org,,https://alaschools.org/privacy-policy,TRUE,"44,802.00",1,itweb@charter.one,(480) 420-2101,"6913 E Rembrandt Ave,
Mesa, AZ 85212 ",TRUE,FALSE,TRUE,FALSE,"Google Analytics, Google Ads (AdWords)",FALSE
Daniel,https://mattresswarehouse.com,,https://mattresswarehouse.com/pages/privacy-policy,TRUE,,1,,"301-682-8504
","Mattress Warehouse 4949 New Design Road Frederick, MD 21703",FALSE,N/A,FALSE,FALSE,,FALSE
